Timeguessr Day,Timeguessr Round,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance,Sarah Time Guessed,Sarah Time Score,Sarah Geography Score,Sarah Geography Score (Min),Sarah Geography Score (Max)
714,2,30013,,OXX,,OXX,,,,,3500.0,4249.0
714,3,30013,,OXX,,XXX,,,,,3500.0,4249.0
714,4,30013,,%XX,,OO%,,,,,2500.0,3499.0
714,5,30013,,XXX,,%XX,,,,,12.0,2499.0
715,1,31758,,OO%,,O%X,,,,,4750.0,4999.0
715,2,31758,,XXX,,O%X,,,,,12.0,2499.0
715,3,31758,,OO%,,%XX,,,,,4750.0,4999.0
715,4,31758,,%XX,,%XX,,,,,2500.0,3499.0
715,5,31758,,OO%,,OO%,,,,,4750.0,4999.0
718,1,39001,,XXX,,OOO,,,,,12.0,2499.0
718,2,39001,,XXX,,OO%,,,,,12.0,2499.0
718,3,39001,,OO%,,OOX,,,,,4750.0,4999.0
718,4,39001,,OO%,,OO%,,,,,4750.0,4999.0
718,5,39001,,OOO,,OOX,,,,5000.0,5000.0,5000.0
719,1,35725,,OOO,,OO%,,,,5000.0,5000.0,5000.0
719,2,35725,,OO%,,XXX,,,,,4750.0,4999.0
719,3,35725,,XXX,,%XX,,,,,12.0,2499.0
719,4,35725,,OO%,,OO%,,,,,4750.0,4999.0
719,5,35725,,OXX,,OO%,,,,,3500.0,4249.0
720,1,35900,,XXX,,OOO,,,,,12.0,2499.0
720,2,35900,,OO%,,OO%,,,,,4750.0,4999.0
720,3,35900,,%XX,,OXX,,,,,2500.0,3499.0
720,4,35900,,OO%,,OXX,,,,,4750.0,4999.0
720,5,35900,,OO%,,OO%,,,,,4750.0,4999.0
721,1,37371,,OOO,,OOO,,,,5000.0,5000.0,5000.0
721,2,37371,,OXX,,XXX,,,,,3500.0,4249.0
721,3,37371,,OO%,,OXX,,,,,4750.0,4999.0
721,4,37371,,OO%,,O%X,,,,,4750.0,4999.0
721,5,37371,,OO%,,OXX,,,,,4750.0,4999.0
722,1,42506,,OOX,,OO%,,,,,4500.0,4749.0
722,2,42506,,OO%,,OOO,,,,,4750.0,4999.0
722,3,42506,,OO%,,O%X,,,,,4750.0,4999.0
722,4,42506,,OO%,,O%X,,,,,4750.0,4999.0
722,5,42506,,OXX,,OXX,,,,,3500.0,4249.0
726,1,32549,,OO%,,OOO,,,,,4750.0,4999.0
726,2,32549,,XXX,,%XX,,,,,12.0,2499.0
726,3,32549,,OOX,,OOO,,,,,4500.0,4749.0
726,4,32549,,XXX,,OOX,,,,,12.0,2499.0
726,5,32549,,%XX,,OXX,,,,,2500.0,3499.0
727,1,47007,,OO%,,OO%,,,,,4750.0,4999.0
727,2,47007,,OO%,,OOX,,,,,4750.0,4999.0
727,3,47007,,OO%,,O%X,,,,,4750.0,4999.0
727,4,47007,,OOO,,OOO,,,,5000.0,5000.0,5000.0
727,5,47007,,OO%,,OOX,,,,,4750.0,4999.0
728,1,43779,,OO%,,OOO,,,,,4750.0,4999.0
728,2,43779,,OO%,,OXX,,,,,4750.0,4999.0
728,3,43779,,OO%,,OOX,,,,,4750.0,4999.0
728,4,43779,,OO%,,O%X,,,,,4750.0,4999.0
728,5,43779,,OO%,,O%X,,,,,4750.0,4999.0
729,1,29412,,%XX,,XXX,,,,,2500.0,3499.0
729,2,29412,,OO%,,OOX,,,,,4750.0,4999.0
729,3,29412,,OXX,,OOX,,,,,3500.0,4249.0
729,4,29412,,O%X,,OXX,,,,,4250.0,4499.0
729,5,29412,,XXX,,XXX,,,,,12.0,2499.0
733,1,41875,,%XX,,O%X,,,,,2500.0,3499.0
733,2,41875,,OOO,,OO%,,,,5000.0,5000.0,5000.0
733,3,41875,,OXX,,OO%,,,,,3500.0,4249.0
733,4,41875,,OXX,,OXX,,,,,3500.0,4249.0
733,5,41875,,OO%,,OOO,,,,,4750.0,4999.0
740,1,26870,,OO%,,O%X,,,,,4750.0,4999.0
740,2,26870,,%XX,,XXX,,,,,2500.0,3499.0
740,3,26870,,OOO,,OXX,,,,5000.0,5000.0,5000.0
740,4,26870,,OXX,,XXX,,,,,3500.0,4249.0
740,5,26870,,OO%,,XXX,,,,,4750.0,4999.0
743,1,41205,,OXX,,OO%,,,,,3500.0,4249.0
743,2,41205,,OO%,,OOO,,,,,4750.0,4999.0
743,3,41205,,XXX,,OO%,,,,,12.0,2499.0
743,4,41205,,OO%,,OOX,,,,,4750.0,4999.0
743,5,41205,,O%X,,O%X,,,,,4250.0,4499.0
747,1,32252,,OO%,,OXX,,,,,4750.0,4999.0
747,2,32252,,OXX,,%XX,,,,,3500.0,4249.0
747,3,32252,,OO%,,OXX,,,,,4750.0,4999.0
747,4,32252,,%XX,,OXX,,,,,2500.0,3499.0
747,5,32252,,OXX,,O%X,,,,,3500.0,4249.0
774,1,35944,,XXX,,OO%,,,,,12.0,2499.0
774,2,35944,,OXX,,O%X,,,,,3500.0,4249.0
774,3,35944,,OO%,,OO%,,,,,4750.0,4999.0
774,4,35944,,OO%,,XXX,,,,,4750.0,4999.0
774,5,35944,,OXX,,OOO,,,,,3500.0,4249.0
775,1,27789,,OO%,,OXX,,,,,4750.0,4999.0
775,2,27789,,XXX,,O%X,,,,,12.0,2499.0
775,3,27789,,OO%,,OXX,,,,,4750.0,4999.0
775,4,27789,,XXX,,OXX,,,,,12.0,2499.0
775,5,27789,,OO%,,XXX,,,,,4750.0,4999.0
776,1,40918,,OXX,,OO%,,,,,3500.0,4249.0
776,2,40918,,OO%,,OXX,,,,,4750.0,4999.0
776,3,40918,,OO%,,OXX,,,,,4750.0,4999.0
776,4,40918,,%XX,,OO%,,,,,2500.0,3499.0
776,5,40918,,OOX,,OOO,,,,,4500.0,4749.0
781,1,34751,,OOO,,O%X,,,,5000.0,5000.0,5000.0
781,2,34751,,O%X,,XXX,,,,,4250.0,4499.0
781,3,34751,,OO%,,OXX,,,,,4750.0,4999.0
781,4,34751,,XXX,,OOX,,,,,12.0,2499.0
781,5,34751,,OOO,,OOO,,,,5000.0,5000.0,5000.0
783,1,33182,,OXX,,OXX,,,,,3500.0,4249.0
783,2,33182,,%XX,,OXX,,,,,2500.0,3499.0
