Date,Timeguessr Day,Timeguessr Round,Year,City,Country,Michael Total Score,Michael Round Score,Michael Geography,Michael Geography Distance,Michael Time,Michael Time Distance,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance
2025-04-07,676,4,,,,40969.0,,🟩⬛️⬛️,,🟩🟩🟩,,40464.0,,🟩⬛️⬛️,,🟩🟩🟩,
2025-04-07,676,5,,,,40969.0,,🟩🟩🟨,,🟩⬛⬛,,40464.0,,🟩🟩🟨,,🟩🟩⬛,
2025-04-08,677,1,,,,37211.0,,🟩🟩🟨,,🟩🟩⬛,,37462.0,,🟩🟩🟩,,🟩🟨⬛,
2025-04-08,677,2,,,,37211.0,,🟩🟩🟨,,🟩🟩🟩,,37462.0,,🟩⬛️⬛️,,🟩🟩🟨,
2025-04-08,677,3,,,,37211.0,,🟩🟩🟨,,🟩⬛⬛,,37462.0,,🟩🟩🟨,,🟩🟩🟨,
2025-04-08,677,4,,,,37211.0,,🟩⬛️⬛️,,🟩🟨⬛,,37462.0,,⬛️⬛️⬛️,,🟨⬛️⬛️,
2025-04-08,677,5,,,,37211.0,,⬛️⬛️⬛️,,🟩⬛⬛,,37462.0,,🟩🟩⬛️,,🟩🟨⬛,
2025-04-09,678,1,,,,38684.0,,🟩🟩🟩,,⬛️⬛️⬛️,,36363.0,,🟩🟩🟨,,🟩⬛⬛,
2025-04-09,678,2,,,,38684.0,,🟩⬛️⬛️,,🟩🟩🟨,,36363.0,,🟨⬛️⬛️,,🟩🟩🟨,
2025-04-09,678,3,,,,38684.0,,🟩🟩🟨,,🟩🟩⬛,,36363.0,,🟩⬛️⬛️,,🟩🟩🟩,
2025-04-09,678,4,,,,38684.0,,🟩🟩🟨,,🟨⬛️⬛️,,36363.0,,🟩⬛️⬛️,,🟩🟩⬛,
2025-04-09,678,5,,,,38684.0,,🟩🟩🟨,,🟩🟩🟩,,36363.0,,🟩🟩🟨,,⬛️⬛️⬛️,
2025-04-10,679,1,,,,34633.0,,🟩🟩🟨,,🟨⬛️⬛️,,25034.0,,🟩🟩🟨,,🟨⬛️⬛️,
2025-04-10,679,2,,,,34633.0,,🟩🟩🟨,,🟩🟩⬛,,25034.0,,⬛️⬛️⬛️,,🟩⬛⬛,
2025-04-10,679,3,,,,34633.0,,🟩🟩🟨,,🟩🟩⬛,,25034.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-04-10,679,4,,,,34633.0,,🟩🟩🟨,,🟩🟩🟨,,25034.0,,🟩⬛️⬛️,,🟩🟨⬛,
2025-04-10,679,5,,,,34633.0,,⬛️⬛️⬛️,,⬛️⬛️⬛️,,25034.0,,⬛️⬛️⬛️,,⬛️⬛️⬛️,
2025-04-11,680,1,,,,38109.0,,🟩⬛️⬛️,,🟩🟨⬛,,36877.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-04-11,680,2,,,,38109.0,,🟩🟩🟩,,🟩🟩⬛,,36877.0,,🟩🟩🟩,,🟩🟩🟨,
2025-04-11,680,3,,,,38109.0,,🟩🟨⬛️,,🟩⬛⬛,,36877.0,,🟩🟩⬛️,,🟩⬛⬛,
2025-04-11,680,4,,,,38109.0,,🟨⬛️⬛️,,🟩🟨⬛,,36877.0,,🟨⬛️⬛️,,🟩🟨⬛,
2025-04-11,680,5,,,,38109.0,,🟩⬛️⬛️,,🟩🟩⬛,,36877.0,,🟩🟩🟨,,🟩⬛⬛,
2025-04-14,683,1,,,,34014.0,,🟨⬛️⬛️,,🟩🟨⬛,,32219.0,,🟩🟩🟨,,🟩🟨⬛,
2025-04-14,683,2,,,,34014.0,,🟨⬛️⬛️,,🟩⬛⬛,,32219.0,,🟩⬛️⬛️,,🟩🟩🟨,
2025-04-14,683,3,,,,34014.0,,🟩⬛️⬛️,,🟩🟩⬛,,32219.0,,🟩🟩🟨,,🟩🟩⬛,
2025-04-14,683,4,,,,34014.0,,🟩🟩🟨,,🟩🟨⬛,,32219.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-04-14,683,5,,,,34014.0,,⬛️⬛️⬛️,,🟩🟩🟨,,32219.0,,⬛️⬛️⬛️,,⬛️⬛️⬛️,
2025-04-15,684,1,,,,43270.0,,🟩⬛️⬛️,,🟩🟩⬛,,32983.0,,🟩⬛️⬛️,,⬛️⬛️⬛️,
2025-04-15,684,2,,,,43270.0,,🟩🟩🟨,,🟩🟩🟨,,32983.0,,🟩🟩🟨,,🟩🟨⬛,
2025-04-15,684,3,,,,43270.0,,🟩🟩🟨,,🟩🟩⬛,,32983.0,,🟩⬛️⬛️,,🟩🟩🟨,
2025-04-15,684,4,,,,43270.0,,🟩🟩🟨,,🟩🟩🟨,,32983.0,,🟩⬛️⬛️,,🟨⬛️⬛️,
2025-04-15,684,5,,,,43270.0,,🟩🟩🟨,,🟨⬛️⬛️,,32983.0,,🟩🟩🟨,,🟨⬛️⬛️,
2025-04-16,685,1,,,,36511.0,,🟨⬛️⬛️,,🟩🟩🟩,,42350.0,,🟩🟨⬛️,,🟩🟩🟩,
2025-04-16,685,2,,,,36511.0,,🟩🟩🟨,,🟩⬛⬛,,42350.0,,🟩🟩🟨,,🟩🟩⬛,
2025-04-16,685,3,,,,36511.0,,🟩🟩🟨,,🟩⬛⬛,,42350.0,,🟩⬛️⬛️,,🟩🟨⬛,
2025-04-16,685,4,,,,36511.0,,🟩⬛️⬛️,,🟩🟩🟩,,42350.0,,🟩⬛️⬛️,,🟩🟩🟩,
2025-04-16,685,5,,,,36511.0,,🟨⬛️⬛️,,🟩⬛⬛,,42350.0,,🟩⬛️⬛️,,🟩🟨⬛,
2025-04-17,686,1,,,,39292.0,,🟩🟩🟩,,🟩🟩🟨,,41028.0,,🟩🟩🟨,,🟩🟨⬛,
2025-04-17,686,2,,,,39292.0,,🟩🟩🟨,,🟩🟩🟩,,41028.0,,🟩🟩🟨,,🟩🟩⬛,
2025-04-17,686,3,,,,39292.0,,🟩🟨⬛️,,🟩⬛⬛,,41028.0,,🟩🟨⬛️,,🟩⬛⬛,
2025-04-17,686,4,,,,39292.0,,🟩🟩🟨,,🟩🟨⬛,,41028.0,,🟩🟩🟨,,🟩🟩⬛,
2025-04-17,686,5,,,,39292.0,,⬛️⬛️⬛️,,🟩🟩⬛,,41028.0,,🟨⬛️⬛️,,🟩🟨⬛,
2025-04-22,691,1,,,,42697.0,,⬛️⬛️⬛️,,🟩🟩🟩,,42808.0,,⬛️⬛️⬛️,,🟩🟩🟩,
2025-04-22,691,2,,,,42697.0,,🟩🟩🟨,,🟩🟨⬛,,42808.0,,🟩🟩🟨,,🟩🟩⬛,
2025-04-22,691,3,,,,42697.0,,🟩⬛️⬛️,,🟩🟩🟩,,42808.0,,🟩🟨⬛️,,🟩🟩🟨,
2025-04-22,691,4,,,,42697.0,,🟩⬛️⬛️,,🟩🟩⬛,,42808.0,,🟩🟩🟨,,🟩🟨⬛,
2025-04-22,691,5,,,,42697.0,,🟩🟩🟩,,🟩🟩🟨,,42808.0,,🟩🟩🟩,,🟩🟩🟨,
2025-04-23,692,1,,,,41018.0,,🟩🟨⬛️,,🟩🟩⬛,,28148.0,,🟩🟨⬛️,,🟨⬛️⬛️,
2025-04-23,692,2,,,,41018.0,,🟩🟨⬛️,,🟩🟩⬛,,28148.0,,⬛️⬛️⬛️,,🟩🟩🟨,
2025-04-23,692,3,,,,41018.0,,🟩🟩🟨,,⬛️⬛️⬛️,,28148.0,,⬛️⬛️⬛️,,⬛️⬛️⬛️,
2025-04-23,692,4,,,,41018.0,,🟩⬛️⬛️,,🟩🟩⬛,,28148.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-04-23,692,5,,,,41018.0,,🟩🟩🟨,,🟩🟩🟩,,28148.0,,🟩🟩🟩,,🟩🟩🟩,
2025-04-24,693,1,,,,40663.0,,🟩🟩🟩,,🟩🟩🟩,,,,,,,
2025-04-24,693,2,,,,40663.0,,🟩🟩🟩,,🟩🟩🟨,,,,,,,
2025-04-24,693,3,,,,40663.0,,🟩⬛️⬛️,,🟨⬛️⬛️,,,,,,,
2025-04-24,693,4,,,,40663.0,,🟩🟩🟨,,🟩🟩🟩,,,,,,,
2025-04-24,693,5,,,,40663.0,,🟩⬛️⬛️,,🟩⬛⬛,,,,,,,
2025-04-25,694,1,,,,37865.0,,🟩🟩🟨,,🟩🟩⬛,,32536.0,,🟩🟩🟩,,🟨⬛️⬛️,
2025-04-25,694,2,,,,37865.0,,🟩🟨⬛️,,🟩🟨⬛,,32536.0,,🟩🟨⬛️,,🟩⬛⬛,
2025-04-25,694,3,,,,37865.0,,🟩⬛️⬛️,,🟩⬛⬛,,32536.0,,🟨⬛️⬛️,,🟩⬛⬛,
2025-04-25,694,4,,,,37865.0,,🟩🟨⬛️,,🟩🟨⬛,,32536.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-04-25,694,5,,,,37865.0,,🟩🟩🟩,,🟨⬛️⬛️,,32536.0,,🟩🟩🟨,,🟩🟨⬛,
2025-04-28,697,1,,,,38737.0,,🟨⬛️⬛️,,🟩🟩⬛,,33856.0,,🟩⬛️⬛️,,🟩🟩🟩,
2025-04-28,697,2,,,,38737.0,,🟨⬛️⬛️,,🟩⬛⬛,,33856.0,,⬛️⬛️⬛️,,🟩🟩⬛,
2025-04-28,697,3,,,,38737.0,,🟩🟩⬛️,,🟩🟩🟩,,33856.0,,⬛️⬛️⬛️,,🟩🟩🟩,
2025-04-28,697,4,,,,38737.0,,🟩🟨⬛️,,🟩🟩⬛,,33856.0,,🟩⬛️⬛️,,🟨⬛️⬛️,
2025-04-28,697,5,,,,38737.0,,🟨⬛️⬛️,,🟩🟩🟨,,33856.0,,🟨⬛️⬛️,,🟩🟩⬛,
2025-04-29,698,1,,,,40040.0,,🟨⬛️⬛️,,🟩🟩🟩,,35001.0,,🟨⬛️⬛️,,🟩🟩🟨,
2025-04-29,698,2,,,,40040.0,,🟩🟩🟨,,🟩🟨⬛,,35001.0,,🟩🟨⬛️,,🟩🟩🟨,
2025-04-29,698,3,,,,40040.0,,🟩🟩🟨,,🟩🟨⬛,,35001.0,,🟩🟩🟨,,🟩⬛⬛,
2025-04-29,698,4,,,,40040.0,,🟩🟩🟨,,🟨⬛️⬛️,,35001.0,,🟩🟩🟨,,🟨⬛️⬛️,
2025-04-29,698,5,,,,40040.0,,🟩🟩⬛️,,🟩🟩⬛,,35001.0,,⬛️⬛️⬛️,,🟩🟩⬛,
2025-04-30,699,1,,,,42332.0,,🟩🟩🟨,,🟩🟨⬛,,,,,,,
2025-04-30,699,2,,,,42332.0,,🟩🟩🟩,,🟩⬛⬛,,,,,,,
2025-04-30,699,3,,,,42332.0,,🟩🟩🟨,,🟩🟩🟨,,,,,,,
2025-04-30,699,4,,,,42332.0,,🟨⬛️⬛️,,🟩🟩🟩,,,,,,,
2025-04-30,699,5,,,,42332.0,,🟩🟨⬛️,,🟩🟩🟨,,,,,,,
2025-05-02,701,1,,,,38551.0,,🟩🟩🟨,,🟩🟩🟨,,38719.0,,⬛️⬛️⬛️,,🟩🟩🟨,
2025-05-02,701,2,,,,38551.0,,🟩🟩🟨,,🟩⬛⬛,,38719.0,,⬛️⬛️⬛️,,🟩🟩🟩,
2025-05-02,701,3,,,,38551.0,,🟩⬛️⬛️,,🟩🟨⬛,,38719.0,,🟩⬛️⬛️,,🟩🟨⬛,
2025-05-02,701,4,,,,38551.0,,🟩⬛️⬛️,,🟩🟩🟨,,38719.0,,🟩🟩🟨,,🟩🟨⬛,
2025-05-02,701,5,,,,38551.0,,🟩🟩🟨,,⬛️⬛️⬛️,,38719.0,,🟩🟩🟩,,🟩🟩🟨,
2025-05-13,712,1,,,,48829.0,,🟩🟩🟩,,🟩🟩🟩,,36799.0,,🟩🟩🟩,,🟩🟩⬛,
2025-05-13,712,2,,,,48829.0,,🟩🟨⬛️,,🟩🟩🟨,,36799.0,,🟩🟨⬛️,,🟩🟩🟨,
2025-05-13,712,3,,,,48829.0,,🟩🟩🟨,,🟩🟩🟩,,36799.0,,🟩🟩🟨,,🟩⬛⬛,
2025-05-13,712,4,,,,48829.0,,🟩🟩🟩,,🟩🟩🟨,,36799.0,,⬛️⬛️⬛️,,🟩🟩⬛,
2025-05-13,712,5,,,,48829.0,,🟩🟩🟨,,🟩🟩🟩,,36799.0,,🟩⬛️⬛️,,⬛️⬛️⬛️,
2025-05-14,713,1,,,,40571.0,,🟩🟨⬛️,,🟩⬛⬛,,26423.0,,🟩🟨⬛️,,🟨⬛️⬛️,
2025-05-14,713,2,,,,40571.0,,🟩🟩⬛️,,🟩🟩🟩,,26423.0,,🟩🟩🟨,,🟩🟩⬛,
2025-05-14,713,3,,,,40571.0,,🟩🟩🟨,,🟩⬛⬛,,26423.0,,⬛️⬛️⬛️,,🟩⬛⬛,
2025-05-14,713,4,,,,40571.0,,🟩⬛️⬛️,,🟩🟩⬛,,26423.0,,🟩⬛️⬛️,,🟩🟨⬛,
2025-05-14,713,5,,,,40571.0,,🟩⬛️⬛️,,🟩🟨⬛,,26423.0,,⬛️⬛️⬛️,,⬛️⬛️⬛️,
2025-05-15,714,1,,,,34781.0,,🟩🟨⬛️,,🟩🟩🟨,,30013.0,,🟩🟩🟨,,🟩🟩🟨,
2025-05-15,714,2,,,,34781.0,,🟩🟩🟩,,🟨⬛️⬛️,,30013.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-05-15,714,3,,,,34781.0,,🟩⬛️⬛️,,⬛️⬛️⬛️,,30013.0,,🟩⬛️⬛️,,⬛️⬛️⬛️,
2025-05-15,714,4,,,,34781.0,,🟩🟩🟨,,🟩🟩🟩,,30013.0,,🟨⬛️⬛️,,🟩🟩🟨,
2025-05-15,714,5,,,,34781.0,,⬛️⬛️⬛️,,🟩🟩🟩,,30013.0,,⬛️⬛️⬛️,,🟨⬛️⬛️,
2025-05-16,715,1,,,,38701.0,,🟩🟩🟨,,🟩🟩🟨,,31758.0,,🟩🟩🟨,,🟩🟨⬛,
2025-05-16,715,2,,,,38701.0,,⬛️⬛️⬛️,,🟩🟨⬛,,31758.0,,⬛️⬛️⬛️,,🟩🟨⬛,
2025-05-16,715,3,,,,38701.0,,🟩🟩🟨,,🟩🟩🟨,,31758.0,,🟩🟩🟨,,🟨⬛️⬛️,
2025-05-16,715,4,,,,38701.0,,🟨⬛️⬛️,,🟩🟨⬛,,31758.0,,🟨⬛️⬛️,,🟨⬛️⬛️,
2025-05-16,715,5,,,,38701.0,,🟩🟩🟨,,🟩🟨⬛,,31758.0,,🟩🟩🟨,,🟩🟩🟨,
